Section Name,Section Size in Bytes (Decimal Format),Section Size in Bytes (Hexadecimal Format),Section Address,Memory Name,Consumed Percentage from MemoryType
.bmhd_0_org,32,0x20,0xa0000000,bmhd_0,100.0
.crt0_boot,12,0xc,0x80000020,int_flash0,0.0006
.bsp_trap_reset,596,0x254,0x80000100,int_flash0,0.0284
.CPU0.bsp_isr_vector_table,2048,0x800,0x80000800,int_flash0,0.0977
.CPU1.bsp_isr_vector_table,2048,0x800,0x80001000,int_flash0,0.0977
.CPU2.bsp_isr_vector_table,2048,0x800,0x80001800,int_flash0,0.0977
.CPU0.bsp_isr_ram_table,128,0x80,0x70100000,pspr_cpu0,0.5208
.CPU1.bsp_isr_ram_table,128,0x80,0x60100000,pspr_cpu1,0.3906
.CPU2.bsp_isr_ram_table,128,0x80,0x50100000,pspr_cpu2,0.3906
.CPU0.csa,16384,0x4000,0x70000000,dspr_cpu0,14.2857
.CPU1.csa,16384,0x4000,0x60000000,dspr_cpu1,13.3333
.CPU2.csa,16384,0x4000,0x50000000,dspr_cpu2,13.3333
.CPU0.stack,4096,0x1000,0x70004000,dspr_cpu0,3.5714
.CPU1.stack,4096,0x1000,0x60004000,dspr_cpu1,3.3333
.CPU2.stack,4096,0x1000,0x50004000,dspr_cpu2,3.3333
.code,4422,0x1146,0x80002000,int_flash0,0.2109
.rodata,64,0x40,0x80003148,int_flash0,0.0031
.ctors,8,0x8,0x80003188,int_flash0,0.0004
.heap,4096,0x1000,0x70005000,dspr_cpu0,3.5714
.CPU0.clear_sec,40,0x28,0x80003190,int_flash0,0.0019
.CPU0.copy_sec,72,0x48,0x800031b8,int_flash0,0.0034
.CPU1.clear_sec,16,0x10,0x80003200,int_flash0,0.0008
.CPU1.copy_sec,36,0x24,0x80003210,int_flash0,0.0017
.CPU2.clear_sec,16,0x10,0x80003234,int_flash0,0.0008
.CPU2.copy_sec,36,0x24,0x80003244,int_flash0,0.0017
.crt0_config,132,0x84,0x80003268,int_flash0,0.0063
.comment,83,0x53,0x0,None,
.debug_aranges,1080,0x438,0x0,None,
.debug_info,69488,0x10f70,0x0,None,
.debug_abbrev,2433,0x981,0x0,None,
.debug_line,26408,0x6728,0x0,None,
.debug_frame,1400,0x578,0x0,None,
.debug_str,654,0x28e,0x0,None,
.debug_loc,212,0xd4,0x0,None,
.debug_ranges,528,0x210,0x0,None,
.version_info,71713,0x11821,0x0,None,
.debug_macro,2723872,0x299020,0x0,None,

Memory Name,Attributes,Origin Address,Length in Hexa Bytes,Length in Decimal Bytes,End Address,Consumed Size,Percentage Consumed Size
int_flash0,rx,0x80000000,0x200000,2097152,0x80200000,11594,0.5528450012207031
int_flash1,rx,0x80200000,0x200000,2097152,0x80400000,0,0.0
pspr_cpu0,rx,0x70100000,0x6000,24576,0x70106000,128,0.5208333333333333
pspr_cpu1,rx,0x60100000,0x8000,32768,0x60108000,128,0.390625
pspr_cpu2,rx,0x50100000,0x8000,32768,0x50108000,128,0.390625
dspr_cpu0,w!x,0x70000000,0x1c000,114688,0x7001c000,24576,21.428571428571427
dspr_cpu1,w!x,0x60000000,0x1e000,122880,0x6001e000,20480,16.666666666666664
dspr_cpu2,w!x,0x50000000,0x1e000,122880,0x5001e000,20480,16.666666666666664
lmu,wx,0xB0000000,0x8000,32768,0xb0008000,0,0.0
lmu_cached,wx,0x90000000,0x8000,32768,0x90008000,0,0.0
bmhd_0,rx,0xa0000000,0x20,32,0xa0000020,32,100.0
bmhd_1,rx,0xa0020000,0x20,32,0xa0020020,0,0.0
bmhd_2,rx,0xa000ffe0,0x20,32,0xa0010000,0,0.0
bmhd_3,rx,0xa001ffe0,0x20,32,0xa0020000,0,0.0
